timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T00:39:37.672139,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-82,SUSPICIOUS,Unknown
2026-04-20T00:39:37.730176,1,Hidden,9c:69:d1:5e:7a:20,1,-90,SUSPICIOUS,Unknown
2026-04-20T00:39:37.750252,1,ibrahim,60:ce:41:78:e5:80,1,-83,SUSPICIOUS,Unknown
2026-04-20T00:39:38.136382,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:39:38.415972,1,Retal,4c:8d:53:93:90:8c,3,-88,SUSPICIOUS,Unknown
2026-04-20T00:39:38.433989,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:39:38.478027,1,Hidden,60:9b:b4:2d:19:b4,3,-84,SUSPICIOUS,Unknown
2026-04-20T00:39:38.545054,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-86,SUSPICIOUS,Unknown
2026-04-20T00:39:38.647302,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-80,SUSPICIOUS,Unknown
2026-04-20T00:39:39.292375,1,ALY,94:28:6f:3c:6d:cf,5,-82,SUSPICIOUS,Unknown
2026-04-20T00:39:39.778489,1,Hidden,40:86:cb:ca:fc:13,6,-90,SUSPICIOUS,Unknown
2026-04-20T00:39:41.294779,1,AdHaM,d8:4a:2b:29:0c:e0,9,-44,SUSPICIOUS,Unknown
2026-04-20T00:39:42.028904,1,We -data,04:20:84:57:eb:3e,11,-77,SUSPICIOUS,Unknown
2026-04-20T00:39:43.020423,1,Hidden,04:20:84:54:ba:36,1,-89,SUSPICIOUS,Unknown
2026-04-20T00:39:43.025007,1,WE_253240,d8:4a:2b:25:32:40,1,-91,SUSPICIOUS,Unknown
2026-04-20T00:39:43.038765,1,Hidden,b4:f5:8e:18:7c:e0,1,-91,SUSPICIOUS,Unknown
2026-04-20T00:39:43.544285,1,Hidden,60:9b:b4:92:20:30,2,-92,SUSPICIOUS,Unknown
2026-04-20T00:39:43.870724,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:39:43.906243,1,Hidden,60:9b:b4:2d:19:b4,3,-89,SUSPICIOUS,Unknown
2026-04-20T00:39:43.966601,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-80,SUSPICIOUS,Unknown
2026-04-20T00:39:47.105725,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-76,SUSPICIOUS,Unknown
2026-04-20T00:39:47.119747,1,Hidden,d8:4a:2b:29:7d:72,11,-78,SUSPICIOUS,Unknown
2026-04-20T00:39:49.399582,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-86,SUSPICIOUS,Unknown
2026-04-20T00:39:49.501593,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-80,SUSPICIOUS,Unknown
2026-04-20T00:39:51.112995,1,Hidden,9c:74:6f:3b:06:24,7,-85,SUSPICIOUS,Unknown
