SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 27m,00001a002f480000a274e9df0000000000026c09a000ba00000080000000ffffffffffff609bb42b503c609bb42b503cf097...,2026-04-10T04:01:24.219332
WE_EDF20C,20:e8:82:ed:f2:0c,1,-62,12.59,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800008bdede8d0000000000026c09a000c200000080000000ffffffffffff20e882edf20c20e882edf20c80ea...,2026-04-10T04:01:24.243941
WE_EDF20C,20:e8:82:ed:f2:0c,1,-62,12.59,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800005567ebdf0000000000026c09a000c200000080000000ffffffffffff20e882edf20c20e882edf20c90ea...,2026-04-10T04:01:24.341640
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-80,100.0,WPA,N/A,Unknown,0d 7h 10m,00001a002f480000fa5beddf0000000000026c09a000b000000080000000ffffffffffff2479ef2a26e02479ef2a26e0f03e...,2026-04-10T04:01:24.482135
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 27m,00001a002f4800001f1127040000000000027109a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c5098...,2026-04-10T04:01:24.842893
WE_EDF20C,20:e8:82:ed:f2:0c,1,-62,12.59,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f48000075c5e98d0000000000027109a000c200000080000000ffffffffffff20e882edf20c20e882edf20cf0ea...,2026-04-10T04:01:24.956359
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800009781f6df0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c00eb...,2026-04-10T04:01:25.083551
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 27m,00001a002f480000f7a3f7df0000000000027609a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c8098...,2026-04-10T04:01:25.151903
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800005986ee8d0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c20eb...,2026-04-10T04:01:25.266788
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000c81dfbdf0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c30eb...,2026-04-10T04:01:25.391785
Hidden,60:9b:b4:2b:50:3c,2,-78,79.43,WPA2,N/A,Unknown,1d 12h 27m,00001a002f480000d680ffdf0000000000027b09a000b200000080000000ffffffffffff609bb42b503c609bb42b503cd098...,2026-04-10T04:01:25.668223
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000a208f58d0000000000027b09a000b400000080000000ffffffffffff58be727f702458be727f702470fc...,2026-04-10T04:01:25.707069
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 27m,00001a002f4800004123496e0000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503cf098...,2026-04-10T04:01:25.873103
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000ad48fb8d0000000000028009a000b600000080000000ffffffffffff58be727f702458be727f7024c0fc...,2026-04-10T04:01:26.109125
Hidden,58:be:72:7f:70:24,6,-64,15.85,WPA2,N/A,Unknown,6d 17h 34m,00001a002f48000093714e6e0000000000028009a000c000000080000000ffffffffffff58be727f702458be727f7024d0fc...,2026-04-10T04:01:26.207526
Vodafone_VDSL,f4:fc:49:3b:c3:c8,6,-76,63.1,WPA2,V1.0 (PBC/PIN),Unknown,1d 9h 48m,00001a002f4800004f3c566e0000000000028509a000b400000080000000fffffffffffff4fc493bc3c8f4fc493bc3c8505d...,2026-04-10T04:01:26.728599
Hidden,58:be:72:7f:70:24,6,-64,15.85,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000085760560000000000028509a000c000000080000000ffffffffffff58be727f702458be727f702450fd...,2026-04-10T04:01:27.033749
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 34m,00001a002f48000092855c6e0000000000028a09a000ba00000080000000ffffffffffff58be727f702458be727f702470fd...,2026-04-10T04:01:27.131350
