timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-22T22:49:55.979361,1,WE_3EB0C3,58:be:72:3e:b0:cc,3,-80,SUSPICIOUS,Cisco Meraki
2026-04-22T22:49:56.249537,1,Folla,c0:e3:fb:d2:57:48,1,-84,SUSPICIOUS,Unknown
2026-04-22T22:49:56.592814,1,Hidden,08:5a:11:5c:df:68,6,-84,SUSPICIOUS,Unknown
2026-04-22T22:49:56.646093,1,Hidden,58:ba:d4:d9:87:a8,2,-42,SUSPICIOUS,Unknown
2026-04-22T22:49:57.161626,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-54,ROGUE,Unknown
2026-04-22T22:49:57.191603,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-64,SUSPICIOUS,Unknown
2026-04-22T22:49:57.498699,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-74,SUSPICIOUS,Unknown
2026-04-22T22:49:57.717489,1,Hidden,08:5a:11:5c:df:68,6,-78,SUSPICIOUS,Unknown
2026-04-22T22:49:57.776266,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-46,ROGUE,Unknown
2026-04-22T22:49:57.809373,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-60,SUSPICIOUS,Unknown
2026-04-22T22:49:57.908852,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-76,SUSPICIOUS,Unknown
2026-04-22T22:49:58.183298,1,Hidden,58:ba:d4:d9:87:a8,2,-34,SUSPICIOUS,Unknown
2026-04-22T22:49:58.522789,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-70,SUSPICIOUS,Unknown
2026-04-22T22:49:58.626719,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:49:58.932736,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-76,SUSPICIOUS,Unknown
2026-04-22T22:49:59.035243,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:49:59.137443,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-72,SUSPICIOUS,Unknown
2026-04-22T22:49:59.517190,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-52,ROGUE,Unknown
2026-04-22T22:50:00.550191,1,Folla,c0:e3:fb:d2:57:48,1,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:01.022968,1,WE,b0:ac:d2:3b:3a:1f,11,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:01.676512,1,Folla,c0:e3:fb:d2:57:48,1,-84,SUSPICIOUS,Unknown
2026-04-22T22:50:02.598067,1,Folla,c0:e3:fb:d2:57:48,1,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:03.044644,1,WE_3EB0C3,58:be:72:3e:b0:cc,3,-74,SUSPICIOUS,Cisco Meraki
2026-04-22T22:50:03.762008,1,WE_3EB0C3,58:be:72:3e:b0:cc,3,-80,SUSPICIOUS,Cisco Meraki
2026-04-22T22:50:03.929759,1,Folla,c0:e3:fb:d2:57:48,1,-84,SUSPICIOUS,Unknown
2026-04-22T22:50:04.018744,1,Hidden,58:ba:d4:d9:87:a8,2,-42,SUSPICIOUS,Unknown
2026-04-22T22:50:04.530897,1,Hidden,58:ba:d4:d9:87:a8,2,-34,SUSPICIOUS,Unknown
2026-04-22T22:50:04.567164,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-66,SUSPICIOUS,Unknown
2026-04-22T22:50:04.666787,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-74,SUSPICIOUS,Unknown
2026-04-22T22:50:04.769320,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-66,SUSPICIOUS,Unknown
2026-04-22T22:50:04.871828,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:04.940285,1,Hidden,58:ba:d4:d9:87:a8,2,-50,SUSPICIOUS,Unknown
2026-04-22T22:50:04.974215,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-66,SUSPICIOUS,Unknown
2026-04-22T22:50:05.076810,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-72,SUSPICIOUS,Unknown
2026-04-22T22:50:05.147333,1,Hidden,58:ba:d4:d9:87:a8,2,-34,SUSPICIOUS,Unknown
2026-04-22T22:50:05.456191,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-46,ROGUE,Unknown
2026-04-22T22:50:05.998859,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:50:06.510154,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-74,SUSPICIOUS,Unknown
2026-04-22T22:50:06.787255,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-78,ROGUE,Unknown
2026-04-22T22:50:06.818035,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:50:06.890021,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-50,ROGUE,Unknown
2026-04-22T22:50:07.022236,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-68,SUSPICIOUS,Unknown
2026-04-22T22:50:07.329293,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-74,SUSPICIOUS,Unknown
2026-04-22T22:50:07.513371,1,Folla,c0:e3:fb:d2:57:48,1,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:08.026098,1,Folla,c0:e3:fb:d2:57:48,1,-82,SUSPICIOUS,Unknown
2026-04-22T22:50:09.970886,1,Folla,c0:e3:fb:d2:57:48,1,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:11.507283,1,Folla,c0:e3:fb:d2:57:48,1,-82,SUSPICIOUS,Unknown
2026-04-22T22:50:11.596421,1,Hidden,58:ba:d4:d9:87:a8,2,-42,SUSPICIOUS,Unknown
2026-04-22T22:50:11.670591,1,WE_91A382,60:9b:b4:91:a3:88,4,-82,SUSPICIOUS,Unknown
2026-04-22T22:50:12.021796,1,Folla,c0:e3:fb:d2:57:48,1,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:12.346934,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-66,SUSPICIOUS,Unknown
2026-04-22T22:50:12.417535,1,Hidden,58:ba:d4:d9:87:a8,2,-50,SUSPICIOUS,Unknown
2026-04-22T22:50:12.451398,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-72,SUSPICIOUS,Unknown
2026-04-22T22:50:12.551920,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-66,SUSPICIOUS,Unknown
2026-04-22T22:50:12.858552,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-74,SUSPICIOUS,Unknown
2026-04-22T22:50:12.961188,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-60,SUSPICIOUS,Unknown
2026-04-22T22:50:13.063319,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-76,SUSPICIOUS,Unknown
2026-04-22T22:50:13.165747,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-60,SUSPICIOUS,Unknown
2026-04-22T22:50:13.473232,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-70,SUSPICIOUS,Unknown
2026-04-22T22:50:13.579343,1,Hidden,34:0a:33:9e:5c:ad,7,-82,SUSPICIOUS,Unknown
2026-04-22T22:50:13.780223,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:50:14.263208,1,fjnf**R,6a:fb:3c:7c:ad:c7,7,-44,ROGUE,Unknown
2026-04-22T22:50:14.294670,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-70,SUSPICIOUS,Unknown
2026-04-22T22:50:14.395032,1,Orange-RoQa,1e:3c:d4:2a:3c:1c,7,-62,SUSPICIOUS,Unknown
2026-04-22T22:50:14.465388,1,Hidden,58:ba:d4:d9:87:a8,2,-34,SUSPICIOUS,Unknown
