timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T00:43:30.502110,1,Hidden,04:20:84:54:ba:36,1,-87,SUSPICIOUS,Unknown
2026-04-20T00:43:30.507458,1,Hidden,e0:b6:68:80:e3:38,1,-93,SUSPICIOUS,Unknown
2026-04-20T00:43:30.534289,1,ibrahim,60:ce:41:78:e5:80,1,-81,SUSPICIOUS,Unknown
2026-04-20T00:43:30.573447,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-83,SUSPICIOUS,Unknown
2026-04-20T00:43:30.607112,1,WE_253240,d8:4a:2b:25:32:40,1,-91,SUSPICIOUS,Unknown
2026-04-20T00:43:30.619056,1,Hidden,9c:69:d1:5e:7a:20,1,-88,SUSPICIOUS,Unknown
2026-04-20T00:43:31.329044,1,Retal,4c:8d:53:93:90:8c,3,-90,SUSPICIOUS,Unknown
2026-04-20T00:43:31.345093,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-80,SUSPICIOUS,Unknown
2026-04-20T00:43:31.377543,1,Hidden,60:9b:b4:2d:19:b4,3,-87,SUSPICIOUS,Unknown
2026-04-20T00:43:31.452450,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:43:31.554833,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:43:31.659787,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-84,SUSPICIOUS,Unknown
2026-04-20T00:43:32.195290,1,ALY,94:28:6f:3c:6d:cf,5,-85,SUSPICIOUS,Unknown
2026-04-20T00:43:32.368480,1,WE_4021FA,60:9b:b4:40:22:00,5,-94,SUSPICIOUS,Unknown
2026-04-20T00:43:32.580300,1,Hidden,40:86:cb:ca:fc:13,6,-90,SUSPICIOUS,Unknown
2026-04-20T00:43:33.163363,1,Hidden,9c:74:6f:3b:06:24,7,-83,SUSPICIOUS,Unknown
2026-04-20T00:43:33.781609,1,AdHaM,d8:4a:2b:29:0c:e0,9,-43,SUSPICIOUS,Unknown
2026-04-20T00:43:33.865351,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-77,SUSPICIOUS,Unknown
2026-04-20T00:43:34.323461,1,We -data,04:20:84:57:eb:3e,11,-78,SUSPICIOUS,Unknown
2026-04-20T00:43:34.501045,1,Hidden,d8:4a:2b:29:7d:72,11,-81,SUSPICIOUS,Unknown
2026-04-20T00:43:36.149727,1,Hidden,b4:f5:8e:18:7c:e0,1,-90,SUSPICIOUS,Unknown
2026-04-20T00:43:37.935562,1,Yasmeen,e0:b6:68:9a:73:1c,6,-92,SUSPICIOUS,Unknown
2026-04-20T00:43:40.052974,1,Hidden,e0:b6:68:5e:5d:f5,11,-88,SUSPICIOUS,Unknown
2026-04-20T00:43:42.198585,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:43:42.308720,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-84,SUSPICIOUS,Unknown
2026-04-20T00:43:42.407260,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:43:46.623994,1,WE_B2BA1E,14:46:58:b2:ba:24,1,-93,SUSPICIOUS,Unknown
2026-04-20T00:43:52.435350,1,Hidden,60:9b:b4:92:20:30,2,-92,SUSPICIOUS,Unknown
2026-04-20T00:43:52.756125,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:43:52.856133,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:43:57.867157,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-84,SUSPICIOUS,Unknown
2026-04-20T00:43:58.073675,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-79,SUSPICIOUS,Unknown
2026-04-20T00:44:02.590422,1,ibrahim,60:ce:41:78:e5:80,1,-82,SUSPICIOUS,Unknown
2026-04-20T00:44:02.732344,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-81,SUSPICIOUS,Unknown
2026-04-20T00:44:03.436921,1,Hidden,60:9b:b4:2d:19:b4,3,-89,SUSPICIOUS,Unknown
2026-04-20T00:44:03.478453,1,Retal,4c:8d:53:93:90:8c,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:44:04.256810,1,ALY,94:28:6f:3c:6d:cf,5,-87,SUSPICIOUS,Unknown
2026-04-20T00:44:05.323190,1,Hidden,9c:74:6f:3b:06:24,7,-85,SUSPICIOUS,Unknown
2026-04-20T00:44:05.922781,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-76,SUSPICIOUS,Unknown
2026-04-20T00:44:06.273772,1,We -data,04:20:84:57:eb:3e,11,-77,SUSPICIOUS,Unknown
2026-04-20T00:44:06.714256,1,Hidden,60:9b:b4:79:23:6c,11,-93,SUSPICIOUS,Unknown
2026-04-20T00:44:07.053668,1,Hidden,d8:4a:2b:29:7d:72,11,-78,SUSPICIOUS,Unknown
2026-04-20T00:44:08.759647,1,Hidden,60:9b:b4:2d:19:b4,3,-82,SUSPICIOUS,Unknown
2026-04-20T00:44:08.964481,1,Hidden,60:9b:b4:2d:19:b4,3,-88,SUSPICIOUS,Unknown
2026-04-20T00:44:09.683696,1,ALY,94:28:6f:3c:6d:cf,5,-82,SUSPICIOUS,Unknown
2026-04-20T00:44:09.962582,1,Hidden,40:86:cb:ca:fc:13,6,-91,SUSPICIOUS,Unknown
2026-04-20T00:44:11.670987,1,AdHaM,d8:4a:2b:29:0c:e0,9,-45,SUSPICIOUS,Unknown
