timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T02:00:03.202451,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-77,SUSPICIOUS,Unknown
2026-04-20T02:00:03.423383,1,AdHaM,d8:4a:2b:29:0c:e0,9,-42,SUSPICIOUS,Unknown
2026-04-20T02:00:03.556210,1,We -data,04:20:84:57:eb:3e,11,-76,SUSPICIOUS,Unknown
2026-04-20T02:00:03.935054,1,Hidden,60:9b:b4:79:ec:c4,11,-90,SUSPICIOUS,Unknown
2026-04-20T02:00:03.982561,1,Hidden,e0:b6:68:5e:5d:f5,11,-87,SUSPICIOUS,Unknown
2026-04-20T02:00:04.004366,1,Hidden,60:9b:b4:79:23:6c,11,-88,SUSPICIOUS,Unknown
2026-04-20T02:00:04.083481,1,Hidden,e0:b6:68:5e:5d:f5,11,-92,SUSPICIOUS,Unknown
2026-04-20T02:00:04.123532,1,Hidden,d8:4a:2b:29:7d:72,11,-76,SUSPICIOUS,Unknown
2026-04-20T02:00:05.318420,1,ibrahim,60:ce:41:78:e5:80,1,-83,SUSPICIOUS,Unknown
2026-04-20T02:00:05.444283,1,shshsjsj,62:4a:f0:28:70:49,1,-30,SUSPICIOUS,Unknown
2026-04-20T02:00:05.560557,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-83,SUSPICIOUS,Unknown
2026-04-20T02:00:05.590930,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-81,SUSPICIOUS,Unknown
2026-04-20T02:00:06.143349,1,Hidden,60:9b:b4:2d:19:b4,3,-86,SUSPICIOUS,Unknown
2026-04-20T02:00:07.102865,1,ALY,94:28:6f:3c:6d:cf,5,-87,SUSPICIOUS,Unknown
2026-04-20T02:00:07.208880,1,Hidden,40:86:cb:ca:fc:13,6,-93,SUSPICIOUS,Unknown
2026-04-20T02:00:14.982363,1,WE_86432B,3c:93:f4:86:43:34,11,-85,SUSPICIOUS,Unknown
2026-04-20T02:00:15.835641,1,Hidden,b4:f5:8e:18:7c:e0,1,-90,SUSPICIOUS,Unknown
2026-04-20T02:00:21.216687,1,Hidden,e0:b6:68:80:e3:38,1,-93,SUSPICIOUS,Unknown
2026-04-20T02:00:21.262553,1,Hidden,9c:69:d1:5e:7a:20,1,-89,SUSPICIOUS,Unknown
2026-04-20T02:00:21.345963,1,Hidden,04:20:84:54:ba:36,1,-87,SUSPICIOUS,Unknown
2026-04-20T02:00:22.229375,1,Hidden,60:9b:b4:2d:19:b4,3,-91,SUSPICIOUS,Unknown
2026-04-20T02:00:23.895159,1,Hidden,9c:74:6f:3b:06:24,7,-84,SUSPICIOUS,Unknown
