timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T01:30:34.663336,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-82,SUSPICIOUS,Unknown
2026-04-20T01:30:34.682280,1,Hidden,04:20:84:54:ba:36,1,-87,SUSPICIOUS,Unknown
2026-04-20T01:30:34.708229,1,ibrahim,60:ce:41:78:e5:80,1,-82,SUSPICIOUS,Unknown
2026-04-20T01:30:34.781181,1,WE_253240,d8:4a:2b:25:32:40,1,-92,SUSPICIOUS,Unknown
2026-04-20T01:30:35.107384,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-83,SUSPICIOUS,Unknown
2026-04-20T01:30:35.202991,1,Hidden,60:9b:b4:92:20:30,2,-92,SUSPICIOUS,Unknown
2026-04-20T01:30:35.464437,1,Hidden,60:9b:b4:2d:19:b4,3,-87,SUSPICIOUS,Unknown
2026-04-20T01:30:35.616653,1,Retal,4c:8d:53:93:90:8c,3,-88,SUSPICIOUS,Unknown
2026-04-20T01:30:36.039141,1,ALY,94:28:6f:3c:6d:cf,5,-85,SUSPICIOUS,Unknown
2026-04-20T01:30:38.044284,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-76,SUSPICIOUS,Unknown
2026-04-20T01:30:38.060862,1,AdHaM,d8:4a:2b:29:0c:e0,9,-40,SUSPICIOUS,Unknown
2026-04-20T01:30:38.567430,1,Hidden,d8:4a:2b:29:7d:72,11,-77,SUSPICIOUS,Unknown
2026-04-20T01:30:38.603060,1,We -data,04:20:84:57:eb:3e,11,-76,SUSPICIOUS,Unknown
2026-04-20T01:30:38.844515,1,Hidden,60:9b:b4:79:23:6c,11,-90,SUSPICIOUS,Unknown
2026-04-20T01:30:38.857949,1,Hidden,e0:b6:68:5e:5d:f5,11,-91,SUSPICIOUS,Unknown
2026-04-20T01:30:38.985892,1,Hidden,60:9b:b4:79:ec:c4,11,-91,SUSPICIOUS,Unknown
2026-04-20T01:30:40.038566,1,WE_B2BA1E,14:46:58:b2:ba:24,1,-93,SUSPICIOUS,Unknown
2026-04-20T01:30:40.122839,1,Hidden,b4:f5:8e:18:7c:e0,1,-92,SUSPICIOUS,Unknown
2026-04-20T01:30:42.067946,1,Hidden,40:86:cb:ca:fc:13,6,-91,SUSPICIOUS,Unknown
2026-04-20T01:30:42.558420,1,Hidden,9c:74:6f:3b:06:24,7,-85,SUSPICIOUS,Unknown
2026-04-20T01:30:45.151182,1,Ali shahin,24:79:ef:24:54:f2,13,-91,SUSPICIOUS,Unknown
2026-04-20T01:30:45.436404,1,Hidden,e0:b6:68:80:e3:38,1,-92,SUSPICIOUS,Unknown
2026-04-20T01:30:47.086228,1,WE_4021FA,60:9b:b4:40:22:00,5,-92,SUSPICIOUS,Unknown
2026-04-20T01:30:47.522448,1,Yasmeen,e0:b6:68:9a:73:1c,6,-94,SUSPICIOUS,Unknown
