timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T00:58:51.620909,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-78,SUSPICIOUS,Unknown
2026-04-20T00:58:51.884436,1,We -data,04:20:84:57:eb:3e,11,-77,SUSPICIOUS,Unknown
2026-04-20T00:58:52.253016,1,Hidden,d8:4a:2b:29:7d:72,11,-78,SUSPICIOUS,Unknown
2026-04-20T00:58:53.316391,1,Ali shahin,24:79:ef:24:54:f2,13,-92,SUSPICIOUS,Unknown
2026-04-20T00:58:53.454493,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-82,SUSPICIOUS,Unknown
2026-04-20T00:58:53.512009,1,ibrahim,60:ce:41:78:e5:80,1,-82,SUSPICIOUS,Unknown
2026-04-20T00:58:53.601345,1,Hidden,9c:69:d1:5e:7a:20,1,-90,SUSPICIOUS,Unknown
2026-04-20T00:58:53.687869,1,Hidden,04:20:84:54:ba:36,1,-88,SUSPICIOUS,Unknown
2026-04-20T00:58:54.412723,1,Retal,4c:8d:53:93:90:8c,3,-87,SUSPICIOUS,Unknown
2026-04-20T00:58:54.430563,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-80,SUSPICIOUS,Unknown
2026-04-20T00:58:54.463967,1,Hidden,60:9b:b4:2d:19:b4,3,-86,SUSPICIOUS,Unknown
2026-04-20T00:58:55.160331,1,ALY,94:28:6f:3c:6d:cf,5,-84,SUSPICIOUS,Unknown
2026-04-20T00:58:55.584947,1,Yasmeen,e0:b6:68:9a:73:1c,6,-92,SUSPICIOUS,Unknown
2026-04-20T00:58:55.650517,1,Hidden,40:86:cb:ca:fc:13,6,-90,SUSPICIOUS,Unknown
2026-04-20T00:58:56.046098,1,Hidden,9c:74:6f:3b:06:24,7,-85,SUSPICIOUS,Unknown
2026-04-20T00:58:56.456915,1,AdHaM,d8:4a:2b:29:0c:e0,9,-44,SUSPICIOUS,Unknown
2026-04-20T00:58:58.907902,1,WE_253240,d8:4a:2b:25:32:40,1,-92,SUSPICIOUS,Unknown
2026-04-20T00:58:58.923052,1,Hidden,b4:f5:8e:18:7c:e0,1,-90,SUSPICIOUS,Unknown
2026-04-20T00:59:02.964468,1,Hidden,60:9b:b4:79:23:6c,11,-92,SUSPICIOUS,Unknown
2026-04-20T00:59:04.649958,1,Hidden,60:9b:b4:92:20:30,2,-92,SUSPICIOUS,Unknown
2026-04-20T00:59:05.017247,1,Hidden,60:9b:b4:2d:19:b4,3,-91,SUSPICIOUS,Unknown
2026-04-20T00:59:05.109959,1,Hidden,60:9b:b4:2d:19:b4,3,-86,SUSPICIOUS,Unknown
2026-04-20T00:59:05.895010,1,WE_4021FA,60:9b:b4:40:22:00,5,-91,SUSPICIOUS,Unknown
2026-04-20T00:59:08.442788,1,Hidden,e0:b6:68:5e:5d:f5,11,-90,SUSPICIOUS,Unknown
2026-04-20T00:59:10.781220,1,Hidden,60:9b:b4:79:ec:c4,11,-90,SUSPICIOUS,Unknown
2026-04-20T00:59:10.982071,1,WE_86432B,3c:93:f4:86:43:34,11,-84,SUSPICIOUS,Unknown
2026-04-20T00:59:32.293472,1,AdHaM,d8:4a:2b:29:0c:e0,9,-47,SUSPICIOUS,Unknown
2026-04-20T00:59:54.552468,1,We -data,04:20:84:57:eb:3e,11,-76,SUSPICIOUS,Unknown
