timestamp,sensor_id,ssid,bssid,channel,signal,classification,manufacturer
2026-04-20T00:54:06.522912,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-77,SUSPICIOUS,Unknown
2026-04-20T00:54:06.655633,1,AdHaM,d8:4a:2b:29:0c:e0,9,-43,SUSPICIOUS,Unknown
2026-04-20T00:54:07.349956,1,Hidden,d8:4a:2b:29:7d:72,11,-79,SUSPICIOUS,Unknown
2026-04-20T00:54:08.487884,1,Hidden,04:20:84:54:ba:36,1,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:08.526095,1,ibrahim,60:ce:41:78:e5:80,1,-80,SUSPICIOUS,Unknown
2026-04-20T00:54:08.569571,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-83,SUSPICIOUS,Unknown
2026-04-20T00:54:08.620502,1,WE_253240,d8:4a:2b:25:32:40,1,-90,SUSPICIOUS,Unknown
2026-04-20T00:54:09.313683,1,Retal,4c:8d:53:93:90:8c,3,-87,SUSPICIOUS,Unknown
2026-04-20T00:54:09.333562,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-84,SUSPICIOUS,Unknown
2026-04-20T00:54:09.567184,1,Hidden,60:9b:b4:2d:19:b4,3,-85,SUSPICIOUS,Unknown
2026-04-20T00:54:10.171499,1,ALY,94:28:6f:3c:6d:cf,5,-86,SUSPICIOUS,Unknown
2026-04-20T00:54:10.698383,1,Yasmeen,e0:b6:68:9a:73:1c,6,-92,SUSPICIOUS,Unknown
2026-04-20T00:54:12.699553,1,Hidden,e0:b6:68:5e:5d:f5,11,-90,SUSPICIOUS,Unknown
2026-04-20T00:54:12.714460,1,We -data,04:20:84:57:eb:3e,11,-77,SUSPICIOUS,Unknown
2026-04-20T00:54:13.947303,1,ibrahim,60:ce:41:78:e5:80,1,-85,SUSPICIOUS,Unknown
2026-04-20T00:54:15.856573,1,Hidden,9c:74:6f:3b:06:24,7,-84,SUSPICIOUS,Unknown
2026-04-20T00:54:15.879964,1,Hidden,40:86:cb:ca:fc:13,6,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:16.477287,1,Hidden,9c:74:6f:3b:06:24,7,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:18.005033,1,Hidden,60:9b:b4:79:ec:c4,11,-79,SUSPICIOUS,Unknown
2026-04-20T00:54:22.004509,1,Hidden,9c:74:6f:3b:06:24,7,-84,SUSPICIOUS,Unknown
2026-04-20T00:54:23.390138,1,Hidden,60:9b:b4:79:23:6c,11,-91,SUSPICIOUS,Unknown
2026-04-20T00:54:23.637336,1,WE_86432B,3c:93:f4:86:43:34,11,-85,SUSPICIOUS,Unknown
2026-04-20T00:54:24.092221,1,Ali shahin,24:79:ef:24:54:f2,13,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:25.652631,1,Hidden,60:9b:b4:2d:19:b4,3,-90,SUSPICIOUS,Unknown
2026-04-20T00:54:25.747667,1,Hidden,60:9b:b4:2d:19:b4,3,-83,SUSPICIOUS,Unknown
2026-04-20T00:54:26.317924,1,WE_4021FA,60:9b:b4:40:22:00,5,-92,SUSPICIOUS,Unknown
2026-04-20T00:54:28.756074,1,Hidden,60:9b:b4:79:ec:c4,11,-94,SUSPICIOUS,Unknown
2026-04-20T00:54:29.903114,1,Hidden,b4:f5:8e:18:7c:e0,1,-88,SUSPICIOUS,Unknown
2026-04-20T00:54:30.765277,1,Hidden,60:9b:b4:2d:19:b4,3,-88,SUSPICIOUS,Unknown
2026-04-20T00:54:34.181663,1,Hidden,60:9b:b4:79:ec:c4,11,-88,SUSPICIOUS,Unknown
2026-04-20T00:54:35.737334,1,Hidden,60:9b:b4:92:20:30,2,-83,SUSPICIOUS,Unknown
2026-04-20T00:54:38.395752,1,AdHaM,d8:4a:2b:29:0c:e0,9,-42,SUSPICIOUS,Unknown
2026-04-20T00:54:38.582469,1,Vodafone_VDSL,c4:27:28:47:1b:c8,10,-77,SUSPICIOUS,Unknown
2026-04-20T00:54:38.666061,1,Hidden,04:20:84:5e:28:f2,9,-93,SUSPICIOUS,Unknown
2026-04-20T00:54:39.507020,1,Hidden,d8:4a:2b:29:7d:72,11,-80,SUSPICIOUS,Unknown
2026-04-20T00:54:40.642872,1,WE_253240,d8:4a:2b:25:32:40,1,-92,SUSPICIOUS,Unknown
2026-04-20T00:54:40.715562,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-85,SUSPICIOUS,Unknown
2026-04-20T00:54:40.745052,1,Hidden,04:20:84:54:ba:36,1,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:41.464616,1,Retal,4c:8d:53:93:90:8c,3,-88,SUSPICIOUS,Unknown
2026-04-20T00:54:41.480264,1,WE_4B4AD0,3c:86:9a:4b:4a:d8,3,-83,SUSPICIOUS,Unknown
2026-04-20T00:54:42.326546,1,ALY,94:28:6f:3c:6d:cf,5,-87,SUSPICIOUS,Unknown
2026-04-20T00:54:42.846747,1,Yasmeen,e0:b6:68:9a:73:1c,6,-91,SUSPICIOUS,Unknown
2026-04-20T00:54:44.364962,1,We -data,04:20:84:57:eb:3e,11,-78,SUSPICIOUS,Unknown
2026-04-20T00:54:45.998477,1,ibrahim,60:ce:41:78:e5:80,1,-84,SUSPICIOUS,Unknown
2026-04-20T00:54:48.240966,1,Hidden,40:86:cb:ca:fc:13,6,-90,SUSPICIOUS,Unknown
2026-04-20T00:54:50.179674,1,Hidden,e0:b6:68:5e:5d:f5,11,-91,SUSPICIOUS,Unknown
2026-04-20T00:54:50.365849,1,Hidden,d8:4a:2b:29:7d:72,11,-75,SUSPICIOUS,Unknown
2026-04-20T00:54:51.911154,1,Hidden,60:9b:b4:92:20:30,2,-91,SUSPICIOUS,Unknown
2026-04-20T00:54:53.959448,1,Hidden,9c:74:6f:3b:06:24,7,-85,SUSPICIOUS,Unknown
2026-04-20T00:54:55.649424,1,Hidden,60:9b:b4:79:23:6c,11,-93,SUSPICIOUS,Unknown
2026-04-20T00:54:55.784195,1,WE_86432B,3c:93:f4:86:43:34,11,-89,SUSPICIOUS,Unknown
2026-04-20T00:54:58.094054,1,ALY,94:28:6f:3c:6d:cf,5,-81,SUSPICIOUS,Unknown
2026-04-20T00:55:01.884030,1,Ali shahin,24:79:ef:24:54:f2,13,-90,SUSPICIOUS,Unknown
2026-04-20T00:55:02.374219,1,zx12cv34,d8:4a:2b:28:b5:ec,1,-80,SUSPICIOUS,Unknown
2026-04-20T00:55:03.031073,1,Hidden,60:9b:b4:2d:19:b4,3,-85,SUSPICIOUS,Unknown
