SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 25m,00001a002f480000e2a195db0000000000027609a000ba00000080000000ffffffffffff609bb42b503c609bb42b503cc06b...,2026-04-10T04:00:11.610431
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 12m,00001a002f480000d68f8c890000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c70bc...,2026-04-10T04:00:11.734144
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 12m,00001a002f480000cc2099db0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c80bc...,2026-04-10T04:00:11.838858
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 12m,00001a002f480000cbb09adb0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c90bc...,2026-04-10T04:00:11.939343
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 25m,00001a002f480000f4e19bdb0000000000027609a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c006c...,2026-04-10T04:00:12.019774
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f480000722a93890000000000027b09a000b600000080000000ffffffffffff58be727f702458be727f7024c0cb...,2026-04-10T04:00:12.167758
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 25m,00001a002f480000329ae5690000000000027b09a000b800000080000000ffffffffffff609bb42b503c609bb42b503c206c...,2026-04-10T04:00:12.225642
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000014b894890000000000027b09a000b600000080000000ffffffffffff58be727f702458be727f7024d0cb...,2026-04-10T04:00:12.270047
Hidden,60:9b:b4:2b:50:3c,2,-76,63.1,WPA2,N/A,Unknown,1d 12h 25m,00001a002f4800002c4aea690000000000027b09a000b400000080000000ffffffffffff609bb42b503c609bb42b503c506c...,2026-04-10T04:00:12.531811
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f4800009af79a890000000000028009a000bc00000080000000ffffffffffff58be727f702458be727f702410cc...,2026-04-10T04:00:12.679198
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000051b1ef690000000000028009a000bc00000080000000ffffffffffff58be727f702458be727f702430cc...,2026-04-10T04:00:12.893892
Hidden,58:be:72:7f:70:24,6,-72,39.81,WPA2,N/A,Unknown,6d 17h 33m,00001a002f480000e780f7690000000000028509a000b800000080000000ffffffffffff58be727f702458be727f702480cc...,2026-04-10T04:00:13.404354
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000cbc4fe690000000000028a09a000b800000080000000ffffffffffff484c29a6b588484c29a6b588307b...,2026-04-10T04:00:13.872443
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800000201eb690000000000028a09a000b800000080000000ffffffffffff484c29a6b588484c29a6b588507b...,2026-04-10T04:00:14.078206
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 33m,00001a002f48000031adee690000000000028f09a000b600000080000000ffffffffffff58be727f702458be727f702410cd...,2026-04-10T04:00:14.317657
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000dc94066a0000000000028f09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588807b...,2026-04-10T04:00:14.397001
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000e360f4690000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b588b07b...,2026-04-10T04:00:14.692814
